ID,Research_Area
1,Artificial Intelligence;Multimedia;Privacy Preservation
2,Robotics; Multi-Agent Systems; Simulation
3,Artificial Intelligence; Simulation; Data-Driven Modeling
4,"Urban Mobility, Supply Chain Management"
5,"Wireless Communications, Deep Reinforcement Learning, Metaverse"
6,Multi-objective routing for metaverse services in F6G
7,"Vehicular edge computing, Digital twin networks"
8,"Privacy Protection, Blockchain, Edge Computing"
9,Privacy-preserving pseudonym management for vehicular edge metaverses
10,"Distributed Computing, Blockchain, Edge Intelligence"
11,Computation offloading and resource allocation in CPSS
12,Virtual Reality; Human-Computer Interaction
13,"Cognitive digital twin, Internet of Robotic Things, multi-sensory extended reality, simulation modeling, generative AI, cyber-physical manufacturing systems in immersive industrial metaverse"
14,Computer Vision; Virtual Reality; Autonomous Systems
15,"Technical features, scenarios, and architectural models of Digital Twin in the IoT context"
16,Agriculture; Cyber-Physical Systems; Artificial Intelligence
17,Development of a disaster assistance intelligent agent system using behavior tree agents for real-time disaster response
18,"Resource Allocation, Blockchain Security, Digital Twin"
19,PEMFC power system coordination control based on distributed deep reinforcement learning
20,"Resource Scheduling, Air-Ground Collaboration, Anti-Interference Communication"
21,Enhancement of computational processing performance for generative AI large models in metaverse applications
22,"VT Migration, Resource Optimization, Trajectory Generation"
23,Air-ground collaborative communication in complex urban environments for 6G networks
24,"6G Wireless Systems, Semantic Communication, Generative AI"
25,Improving failure prediction in Autonomous Guided Vehicles using Federated Learning
26,"Metaverse, Edge Computing, Reinforcement Learning"
27,Development of hierarchical deep reinforcement learning with experience sharing for Metaverse in education
28,"Metaverse, Network Bandwidth Optimization, Latency Reduction"
29,Improving end-to-end latency fairness in network scheduling using reinforcement learning
30,"Quantum Reinforcement Learning, Spatio-Temporal Coordination"
31,"The system architecture integrates metaverse with multi-UAV systems, featuring a nonstationary Markov game model for dynamic environments. It includes simulation (Airsim) and physical UAV systems, with perception-control modularization for target detection and MARL-based control."
32,"Edge Caching, Bitrate Selection, Multiagent Deep Reinforcement Learning"
33,Development of human-AI interaction systems in the Metaverse through intelligent smart contracts and extended stigmergy
34,"6G wireless networks, IoT, MEC"
35,Micro-social behavior modeling and loyalty regulation in metaverse communities based on user stickiness
36,Artificial Intelligence; Ethics; AI Safety
37,Multi-Agent Deep Reinforcement Learning for Digital Twin in Metaverse over 6G Wireless Communication
38,"Edge Computing, Reinforcement Learning, IoT"
39,Mobile edge adversarial detection for digital twinning to the Metaverse using deep reinforcement learning
40,"Edge Computing, Reinforcement Learning, Blockchain"
41,Multi-objective routing strategy for diversified 6G metaverse services using cooperative deep reinforcement learning
42,"Edge Computing, Reinforcement Learning, IoT"
43,QoE-oriented cooperative VR rendering and dynamic resource leasing in Metaverse
44,"Metaverse, Mobile Crowdsensing, Multi-Agent Systems"
45,"Aerial MEC-empowered Metaverse service architecture with Terrestrial and Non-Terrestrial Networks (TN-NTN), including aerial base stations (UCH, HAPs), Metaverse users (MUs), and Metaverse service providers (MSPs)."
46,"Trust Assessment, Reputation Systems"
47,Edge Computing
48,Human-Computer Interaction; Multi-Agent Systems; Virtual Simulation; Military Decision Support
49,Multiagent IoT Ecosystems
50,"Secure Group Communication, Key Management"
51,Multiagent IoT Ecosystems
52,"Quantum Reinforcement Learning, Dynamic Streaming"
53,"The research area is Semantic Information Marketing in Metaverse Ecosystems with Contract Theory and Multi-Agent Reinforcement Learning. It focuses on designing incentive mechanisms for virtual service providers (VSPs) to hire sensing IoT devices, addressing data transmission challenges and information asymmetry through a learning-based contract theory framework."
54,"Blockchain Security, Machine Learning"
55,UAV Metaverses with Digital Twin Migration and Multiagent Deep Reinforcement Learning
56,"Human-Computer Interaction, Social VR"
57," Metaverse, artificial intelligence"
58,Metaverse and Blockchain
59,Library and Information 
60,IOT
61,"Video Game, multiagent systems"
62,"Edge computing, Metaverse, Reinforcement learning"
63," opinion neighborhood, social networks"
64,"Metaverse, Edge computing, Reinforcement learning"
65,Vehicular Metaverse
66,"Metaverse, IoT, Edge Computing"
67,Multi-Agent System and Reinforcement Learning
68,Multi-Agent System and Reinforcement Learning
69,Multi-Agent System and Reinforcement Learning
70,Digital Twin and Metaverse
71,Communication Network and IoT
72,Blockchain
73,Edge-Cloud Collaboration
74,Communication Network and IoT
75,Communication Network and IoT
76,Digital Twin and Metaverse
77,Multi-Agent System and Reinforcement Learning
78,Digital Twin and Metaverse
