ID,Research_Gap
1,Existing ABR methods lack privacy protection and multi-user coordination
2,Existing works focus on single-environment interactions or human-centric digital twins
3,Lack of generalized framework for DTs with DDABMS; Existing works are domain-specific
4,"Lack of real-world validation, Sensitivity to input parameters"
5,Existing works do not consider asymmetric data sizes or asynchronous multi-agent interactions in Metaverse scenarios
6,Traditional single metric-based routing algorithms cannot meet diversified QoS requirements; existing multi-objective routing methods do not consider differentiated metaverse service requirements; lack of cooperative path selection for diversified services
7,Previous studies lacked optimal incentive strategies and did not consider emergency scenarios
8,Previous schemes lack efficiency and robustness in large-scale pseudonym management
9,Existing pseudonym management methods insufficient for vehicular edge metaverses; lack of efficient cross-domain pseudonym distribution; absence of adaptive pseudonym generation strategy for dynamic demands
10,Existing schemes lack decentralized fairness and adaptability to dynamic environments
11,Existing solutions lack cooperation among ESs and self-adaptive capabilities; traditional optimization methods require complete network information; limited use of reputation models and digital twin technology in computation offloading
12,Existing methods focus on obstacle avoidance without considering relative positional alignment between users in virtual and physical environments.
13,"Lack of comprehensive integration of cognitive digital twins, IoRT, and generative AI in industrial metaverse. Need for improved cooperative multi-agent controls and real-time analytics in smart factories."
14,"Existing methods focus on single-agent perception, lacking collaborative solutions for crowded scenes."
15,"Lack of standardized DT definitions and architectures, limited interoperability, and challenges in scaling DT systems to large-scale applications."
16,"Existing digital twins rely heavily on historical data, lacking adaptive capabilities for real-time changes."
17,Limited integration of social-psychological factors in crowd simulation; need for more real-world data to enhance decision tree accuracy.
18,Existing works optimize resource allocation and transaction throughput separately
19,"Existing control algorithms lack effective coordination of multiple variables and consideration of mutual coupling effects, and traditional reinforcement learning algorithms have limitations in robustness and exploration capabilities for PEMFC systems."
20,Existing works optimize resource allocation and interference mitigation separately
21,"Existing methods lack efficient multi-dimensional optimization frameworks for enhancing computational performance of generative AI large models in metaverse applications, and there is a gap in integrating autonomous decision-making with complex environment simulation."
22,Existing methods lack adaptability to real-time changes and efficient resource utilization
23,"Existing methods lack efficient environmental cognition-driven hierarchical decision-making frameworks for air-ground collaborative communication in complex urban environments, and conventional RL methods struggle with multi-dimensional decision-making."
24,"Lack of interoperability in heterogeneous SMs, High communication overhead"
25,"Existing methods lack effective use of distributed learning for AGV failure prediction, and traditional centralized approaches struggle with data privacy and communication overhead in complex manufacturing environments."
26,"The research gap is that existing studies on edge resource allocation for the metaverse either lack consideration of human-centric factors affecting Quality of Experience (QoE) or fail to model the dynamic interactions between multiple users in a collaborative environment. Most prior works focus on single-agent or non-cooperative frameworks, ignoring the complex interdependencies among users and the need for adaptive resource allocation in highly dynamic metaverse scenarios. Additionally, there is a shortage of methods that effectively balance QoE optimization with fair resource distribution, especially in environments with varying network conditions and user demands. The integration of graph-based models to capture spatial-temporal relationships between users in metaverse networks has also been underexplored."
