ID,Title,Abstract,Keywords,Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations,Authors,Year,Source_Name,Publication_Type
"1","Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning","The social metaverse is a growing digital ecosystem that blends virtual and physical worlds. It allows users to interact socially, work, shop, and enjoy entertainment. However, privacy remains a major challenge, as immersive interactions require continuous collection of biometric and behavioral data. At the same time, ensuring high-quality, low-latency streaming is difficult due to the demands of real-time interaction, immersive rendering, and bandwidth optimization. To address these issues, we propose adaptive social metaverse streaming (ASMS), a novel streaming system based on federated multiagent proximal policy optimization (F-MAPPO). ASMS leverages F-MAPPO, which integrates federated learning (FL) and deep reinforcement learning (DRL) to dynamically adjust streaming bit rates while preserving user privacy. Experimental results show that ASMS improves user experience by at least 14% compared to existing streaming methods across various network conditions. Therefore, ASMS enhances the social metaverse experience by providing seamless and immersive streaming, even in dynamic and resource-constrained networks, while ensuring that sensitive user data remain on local devices.","Adaptive bit rate (ABR) streaming;extended reality (XR);federated learning (FL);multiagent reinforcement learning;social metaverse","Social Metaverse","Artificial Intelligence;Multimedia;Privacy Preservation","Three-layer architecture: thing layer (user devices), edge layer (edge servers), cloud layer (data center)","Local agents on XR devices adjust bit rates; global agent on edge server coordinates learning","Federated Multiagent Proximal Policy Optimization (F-MAPPO) with local differential privacy (LDP)","Mean Opinion Score (MOS);Root Mean Square Error (RMSE);QoE model validation","Two rendering servers, global agent server, multiple VR/MR headsets; diverse network conditions simulated","Privacy;Latency;Bandwidth Optimization;Multi-user Coordination","Existing ABR methods lack privacy protection and multi-user coordination",Limited to simulated network conditions; scalability for large-scale users not fully tested,"Zijian Long;Haopeng Wang;Haiwei Dong;Abdulmotaleb El Saddik",2025,"IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS","Journal Article"
"2","A Robot Augmented Environment Based on ROS multi-Agent Structure","This paper presents how to construct an augmented environment for a robot controller software. First, a multi-agent software architecture based on the Robot Operating System (ROS) platform is purposed as a framework to superimpose real-world, virtual and software environments. Then, key settings in the ROS framework that affect the robot-environment interaction are discussed. To resolve such issues, message aggregation/discrimination in the proposed framework are implemented using the Simulink-based time-triggered architecture. Finally, a collision detection problem is demonstrated a built robot interacts with the proposed augmented environment.","augmented environment; Robot Operating System; multi-agent structure; time-triggered architecture","Robot Augmented Environment","Robotics; Multi-Agent Systems; Simulation","Three-layer ROS architecture: driver layer (hardware interfacing), behavior layer (message processing), task layer (control logic)","ROS nodes as agents for data collection and action execution in different environments","Publish-subscribe model with message aggregation/dissemination; Time-triggered architecture using Simulink","Case study with odometry and obstacle detection data; Qualitative analysis of augmented environment integration","TurtleBot3 robot in real-world and Gazebo-simulated environments; MATLAB/Simulink for controller implementation","Collision detection; Dynamics alignment between real and virtual robots; Multi-environment integration","Existing works focus on single-environment interactions or human-centric digital twins","Limited to specific robot (TurtleBot3); Dynamics misalignment between real and simulated robots not fully resolved","Supachai Vorapojpisut; Ratchagree Amornlikitsin; Matus Lhongpol; Tienake Phuapaiboon","2019","2019 4th International Conference on Control, Robotics and Cybernetics (CRC)","Conference Paper"
"3","A Conceptual Framework for Digital Twins of Multi-Agent Systems","Multi-agent Systems (MASs) are complex systems made up of agents that can be any entities with the ability to interact autonomously and make decentralized decision-making to solve complex problems. Data-driven Agent-based Modeling and Simulation (DDABMS) equips MASs with access to decisions based on near-real-time data, allowing for more informed decisions for systems’ enhancements. Digital Twins (DTs) can further enhance MASs by serving as virtual replicas that enable what-if scenarios exploration and allow continuous validation and refinement of the underlying models with real-time data from MASs. However, we discovered a gap in systematically integrating DTs with DDABMS, as existing efforts focus on specific problems and domains rather than providing a generalized framework to develop DTs with DDABMS. This paper addresses this gap by proposing a generalized framework to develop DTs for MASs with DDABMS. To demonstrate the practicability of our proposed framework for modeling and simulation of complex systems, we present an illustrative case study based on an epidemiological Susceptible-Infected-Recovered model.","digital twins; multi-agent systems; data-driven agent-based modeling; agent-based modeling and simulation; decision making","Multi-Agent System","Artificial Intelligence; Simulation; Data-Driven Modeling","Three-component framework: Data Pipeline, Model Development, Analysis","Agents represent entities (e.g., individuals in SIR model) with autonomous decision-making","Data-driven modeling with real-time updates; Feedback loop for bidirectional data flow","Case study using SIR epidemiological model; Qualitative framework validation","Population of 10,000 individuals categorized into SIR groups; Real-time data integration from multiple sources","Integration of DTs with DDABMS; Data quality and interoperability; Model scalability","Lack of generalized framework for DTs with DDABMS; Existing works are domain-specific","Conceptual framework; Empirical validation pending; Scalability for large systems not tested","Hui Min Lee; Ruhollah Jamali; Sanja Lazarova-Molnar","2025","Procedia Computer Science","Conference Paper"
"4","Adaptive solutions for metaverse urban mobility through decision-making and blockchain","This paper utilizes blockchain technology (BT) and circular q-rung orthopair fuzzy sets (Cq-ROFS) to address practical issues related to urban transportation and supply chain management (SCM). The study employs the SWARA-AROMAN approach to evaluate potential blockchain integration possibilities for metaverse urban mobility, providing insights into the robustness and adaptability of solutions.","Supply chain management, SWARA, AROMAN, Electronic toll collection, Metaverse, Blockchain, Decision making, Car-sharing","Metaverse","Urban Mobility, Supply Chain Management","Blockchain-based","Decision Maker","Fuzzy logic-based decision-making","SWARA-AROMAN","Case study with four alternatives and eight criteria","Complexity of urban transportation networks, Data imprecision","Lack of real-world validation, Sensitivity to input parameters","Sensitivity to input parameters, Lack of real-world validation, Resource intensiveness, Low adaptability","Shuchen Zhou, Lei Yu, Yinling Wang, Sami Dhabbi, Mouhebeddine Berrima, Mohd Anjum","2024","Alexandria Engineering Journal","Original Article"
"5","Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications","This paper proposes a novel deep Reinforcement Learning (RL) structure, namely Asynchronous Actors Hybrid Critic (AAHC), to optimize latency and reliability in the Metaverse over wireless communications. The approach involves two interactive RL agents to handle uplink (UL) and downlink (DL) transmissions, considering joint optimization of computation offloading, channel assignment, and power allocation.","Metaverse, Reinforcement Learning, Latency Optimization, Reliability, Wireless Communications","Metaverse Console (MC), XR Users (XUs)","Wireless Communications, Deep Reinforcement Learning, Metaverse","Asynchronous multi-agent system with hybrid reward architecture","UL Agent: Optimizes computation offloading and channel assignment; DL Agent: Optimizes power allocation","Proximal Policy Optimization (PPO) with hybrid Critic","Comparison with baseline models (iterative RL, CTRL), metrics include total delay, retransmission percentage, energy consumption","Simulated environment with varying numbers of XR users and channels, Rician fading channel model","Asynchronous MDP, high-dimensional objectives, NP-hard optimization","Existing works do not consider asymmetric data sizes or asynchronous multi-agent interactions in Metaverse scenarios","Limited to simulated environments; real-world deployment challenges not addressed","Wenhan Yu, Terence Jie Chua, Jun Zhao","2023","IEEE Journal on Selected Areas in Communications","Journal Article"
"6","A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G","The 6th Generation Fixed networks (F6G) with holographic communication and omni-directional sensory coverage is expected to arrive in 2030. Due to the characteristics of cross-integration between the physical and digital worlds, metaverse has been widely recognized as an important application in F6G to be utilized in all walks of life in the future. However, the metaverse applications will generate diversified communication services with differentiated Quality of Service (QoS) requirements, which will be a great challenge for F6G to develop End-to-End (E2E) customized transmission strategies. Traditional single metric-based routing algorithms cannot efficiently orchestrate the network resources to meet the diversified QoS requirements. To solve the above problems, we propose a Cooperative Multi-Agent Reinforcement Learning (Co-MARL) routing algorithm, which measures the differentiated QoS demands through a generic utility function to facilitate multiple agents to solve the multi-objective optimization problem. The simulation results show our scheme outperforms the traditional routing algorithm in meeting the diversified QoS requirements.","F6G;differentiated QoS requirements;Cooperative Multi-Agent Reinforcement Learning;multi-objective routing","Metaverse","Multi-objective routing for metaverse services in F6G","Network modeled as graph G(V, E) with four functional areas (education, residential, commercial, industrial); edge servers deployed in each area; routers connected via fiber links","Multi-agent system where each agent corresponds to a service type, cooperating to select optimal paths","Uses Decentralized Partially Observable Markov Decision Problem (Dec-POMDP) model; Co-MARL algorithm with utility function to measure QoS demands; agents cooperate to optimize path selection; Segment Routing (SR) technology for path construction","Simulation comparison with MT-OSPF; evaluation of reward values, average latency, packet drop rate, and throughput; utility function for QoS metric optimization","City network topology with 11 router nodes, 14 fiber links; each router has 10 Gbps sending rate, 2.5 GB cache; packet size 20 KB, fiber link transmission rate 40 Gbps; three service types with different QoS weightings","Diversified QoS requirements for metaverse services; E2E customized transmission strategies; efficient network resource orchestration; avoiding network congestion","Traditional single metric-based routing algorithms cannot meet diversified QoS requirements; existing multi-objective routing methods do not consider differentiated metaverse service requirements; lack of cooperative path selection for diversified services","Limited to specific network topology and service type ratios; performance under extremely high traffic loads or more complex service scenarios not fully evaluated; potential for further optimization of agent cooperation strategies","Xueming Zhou, Bomin Mao, Jiajia Liu","2023","2023 32nd Wireless and Optical Communications Conference (WOCC)","Conference article"
"7","Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach","This paper proposes an adaptive resource allocation and task offloading scheme for HAPS-assisted Internet of Vehicle networks by exploiting the potential of digital twins (DT), blockchain, and federated multi-agent deep reinforcement learning (FMADRL) technologies. The DT network is utilized to intelligently monitor and control the demand and supply of resources in the digital representation of the physical operating environment. A dynamic pricing-based double auction is adopted to model the supplies and demands of resource providers and requesters. A consortium blockchain is deployed to enable distributed and secure resource allocation. The proposed scheme achieves efficient resource allocation and maximizes the utility function while minimizing costs compared to baseline schemes.","Blockchain, digital twin, resource allocation, task offloading, smart vehicles, deep reinforcement learning, federated learning, double auction","HAPS-assisted IoV","Vehicular edge computing, Digital twin networks","DT-driven HAPS-assisted IoV network with consortium blockchain","DTV (Digital Twin of Vehicle), DTR (Digital Twin of RSU), DTH (Digital Twin of HAPS)","Federated multi-agent deep reinforcement learning (FMADRL), double auction-based incentive model","Numerical simulations comparing FMADDPG with MADDPG, MADQN, and greedy algorithms","Four clusters with 10-30 SVs each, 1 HAPS, 4 RSUs, Python 3.6 environment","Dynamic network topology, mobility of vehicles, resource constraints","Previous studies lacked optimal incentive strategies and did not consider emergency scenarios","Simulation-based evaluation may not fully capture real-world complexities","Hayla Nahom Abishu, Abegaz Mohammed Seid, Rutvij H. Jhaveri, Thippa Reddy Gadekallu, Aiman Erbad, Mohsen Guizani","2024","IEEE Transactions on Intelligent Vehicles","Journal article"
"8","Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse","This article proposes a blockchain-based pseudonym management framework for vehicular edge metaverses, addressing privacy protection challenges during vehicle twin migrations. The framework utilizes cross-chain technology for secure pseudonym distribution and introduces a novel metric, Degree of Privacy Entropy (DoPE), to quantify privacy levels. A multiagent deep reinforcement learning (MADRL) algorithm is employed to optimize pseudonym generation.","Blockchain, Pseudonym Management, Vehicular Edge Metaverse, Privacy Protection, Cross-Chain Technology, MADRL","Vehicular Edge Metaverse","Privacy Protection, Blockchain, Edge Computing","Hierarchical cross-metaverse architecture with main chain, relay chain, and subchains","Vehicle Twins (VTs), Vehicle Metaverse Users (VMUs), Local Metaverse Managers (LMMs)","Pseudonym generation, distribution, and revocation using cross-chain technology and MADRL","Security analysis, consensus time comparison, social welfare evaluation","Simulation on FISCO BCOS platform with WeCross, comparison with single-chain system and other algorithms","Privacy leakage, management overhead, lack of generalized privacy metric","Previous schemes lack efficiency and robustness in large-scale pseudonym management","Limited to simulation-based evaluation, real-world deployment challenges not addressed","Jiawen Kang, Xiaofeng Luo, Jiangtian Nie, Tianhao Wu, Haibo Zhou, Yonghua Wang, Dusit Niyato, Shiwen Mao, Shengli Xie","2024","IEEE Internet of Things Journal","Journal Article"
"9","Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach","Driven by the great advances in metaverse and edge computing technologies, vehicular edge metaverses are expected to disrupt the current paradigm of intelligent transportation systems. As highly computerized avatars of vehicular metaverse users (VMUs), the vehicle twins (VTs) deployed in edge servers can provide valuable metaverse services to improve driving safety and on-board satisfaction for their VMUs throughout journeys. To maintain uninterrupted metaverse experiences, VTs must be migrated among edge servers following the movements of vehicles. This can raise concerns about privacy breaches during the dynamic communications among vehicular edge metaverses. To address these concerns and safeguard location privacy, pseudonyms as temporary identifiers can be leveraged by both VMUs and VTs to realize anonymous communications in the physical space and virtual spaces. However, existing pseudonym management methods fall short in meeting the extensive pseudonym demands in vehicular edge metaverses, thus dramatically diminishing the performance of privacy preservation. To this end, we present a cross-metaverse empowered dual pseudonym management framework. We utilize cross-chain technology to enhance management efficiency and data security for pseudonyms. Furthermore, we propose a metric to assess the privacy level and employ a multiagent deep reinforcement learning (MADRL) approach to obtain an optimal pseudonym generating strategy. Numerical results demonstrate that our proposed schemes are high-efficiency and cost-effective, showcasing their promising applications in vehicular edge metaverses.","Cross-chain; deep reinforcement learning; pseudonym management; twin migration; vehicular metaverse","Metaverse","Privacy-preserving pseudonym management for vehicular edge metaverses","Hierarchical architecture with global metaverse and local metaverses; cross-chain system including main chain, relay chain, and subchains; edge servers and local metaverse managers (LMMs) in edge layer; trusted authority (TA) in cloud layer","Local metaverse managers (LMMs) as agents; vehicle twins (VTs) and vehicular metaverse users (VMUs) as entities requiring pseudonyms","Cross-metaverse framework with cross-chain technology; decentralized partially observable Markov decision process (Dec-POMDP) model; multiagent deep reinforcement learning (MADRL) for pseudonym generation; utility function and inventory theory for optimization","Security analysis (anonymity, unlinkability, immutability, etc.); performance analysis of cross-chain pseudonym management (consensus time, transaction delay); performance analysis of pseudonym generation method (convergence, utility, etc.)","Simulation on FISCO BCOS platform with WeCross; three local metaverses with varying VMU counts; Poisson-distributed pseudonym demands; comparison with MADDPG, MATD3, genetic algorithm, random, and greedy schemes","Large-scale pseudonym management overhead; centralized storage vulnerability; lack of generalized privacy metric; dynamic pseudonym demand adaptation","Existing pseudonym management methods insufficient for vehicular edge metaverses; lack of efficient cross-domain pseudonym distribution; absence of adaptive pseudonym generation strategy for dynamic demands","Limited to specific network topologies and pseudonym demand distributions; performance under extreme traffic conditions not fully evaluated; potential for optimization in cross-district pseudonym distribution efficiency","Jiawen Kang, Xiaofeng Luo, Jiangtian Nie, Tianhao Wu, Haibo Zhou, Yonghua Wang, Dusit Niyato, Shiwen Mao, Shengli Xie","2024","IEEE Internet of Things Journal","Journal article"
"10","Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse","This paper proposes a Blockchain-enabled Intelligent Dispersed Computing Framework (BIDC) for metaverse applications, addressing challenges in computational efficiency and fairness. The framework models tasks as a directed acyclic graph (DAG) and integrates blockchain mining with task offloading. A Dispersed Multi-Agent Reinforcement Learning (DMA) algorithm is employed for dynamic task allocation, and a hybrid blockchain structure ensures fairness and scalability. Experimental results demonstrate BIDC's superior performance in efficiency and fairness compared to existing solutions.","Blockchain, Edge Computing, Task Offloading, Deep Reinforcement Learning, Web 3.0, Metaverse","Web 3.0 Metaverse","Distributed Computing, Blockchain, Edge Intelligence","Two-layered architecture with Computing Layer and Bridge Layer, hybrid blockchain (center chain and minor chains)","Networked Computation Points (NCPs), Bridge Nodes","Task offloading as mining process, Mining Mechanism, Main Chain Confirmation Mechanism","Convergence analysis, time cost comparison, fairness evaluation","Simulation on OMNeT++ with INET framework, comparison with Local, Random, Greedy, and CODIA schemes","Centralized task offloading inefficiency, lack of fair incentives, dynamic network complexity","Existing schemes lack decentralized fairness and adaptability to dynamic environments","Simulation limited to specific scenarios, real-world deployment challenges not addressed","Zhonghui Wu, Changqiao Xu, Mu Wang, Yunxiao Ma, Zicong Huang, Jingtian Liu, Han Xiao, Lujie Zhong, Luigi Alfredo Grieco","2025","Computer Networks","Journal Article"
