ID,Behavior_Mechanism
1,Federated Multiagent Proximal Policy Optimization (F-MAPPO) with local differential privacy (LDP)
2,Publish-subscribe model with message aggregation/dissemination; Time-triggered architecture using Simulink
3,Data-driven modeling with real-time updates; Feedback loop for bidirectional data flow
4,Fuzzy logic-based decision-making
5,Proximal Policy Optimization (PPO) with hybrid Critic
6,Uses Decentralized Partially Observable Markov Decision Problem (Dec-POMDP) model; Co-MARL algorithm with utility function to measure QoS demands; agents cooperate to optimize path selection; Segment Routing (SR) technology for path construction
7,"Federated multi-agent deep reinforcement learning (FMADRL), double auction-based incentive model"
8,"Pseudonym generation, distribution, and revocation using cross-chain technology and MADRL"
9,Cross-metaverse framework with cross-chain technology; decentralized partially observable Markov decision process (Dec-POMDP) model; multiagent deep reinforcement learning (MADRL) for pseudonym generation; utility function and inventory theory for optimization
10,"Task offloading as mining process, Mining Mechanism, Main Chain Confirmation Mechanism"
11,Formulates joint optimization problem as time-varying mixed integer nonlinear programming problem; uses MADRL to learn action policy; builds reputation model for ESs; uses digital twin-based virtual system for training
12,Improved artificial potential fields for repulsion; Alignment-guidance forces for dynamic alignment; Dynamic weightings for balancing forces
13,Leverages generative AI for smart process planning and decision-making. Employs machine and deep learning algorithms for big data analysis. Utilizes simulation modeling and extended reality for immersive industrial operations. Integrates cyber-physical systems for real-time production logistics and resource coordination.
14,Depth-based BEV feature extraction; Feature enhancement for overlapping areas; Intermediate fusion for collaborative perception
15,"Consolidates DT definition based on foundational properties like representativeness, reflection, replication, entanglement, persistency, memorization, composability, accountability, augmentation, ownership, servitization, and predictability. Uses functional layering and architectural models for implementation."
16,Discrete-event modeling for plant-environment interactions; Adaptive planning based on real-time data
17,"The system uses behavior tree and decision tree algorithms. The behavior tree handles sequential and selector node operations for decision-making, while the decision tree classifies situations and guides resource allocation."
18,Fully decentralized multiagent compound-action actor-critic (FDMA-CA2C) algorithm
