ID,Title,Abstract,Keywords,Authors,Year,Publication_Type,Source_Name,Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations
1,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,"The social metaverse is a growing digital ecosystem that blends virtual and physical worlds. It allows users to interact socially, work, shop, and enjoy entertainment. However, privacy remains a major challenge, as immersive interactions require continuous collection of biometric and behavioral data. At the same time, ensuring high-quality, low-latency streaming is difficult due to the demands of real-time interaction, immersive rendering, and bandwidth optimization. To address these issues, we propose adaptive social metaverse streaming (ASMS), a novel streaming system based on federated multiagent proximal policy optimization (F-MAPPO). ASMS leverages F-MAPPO, which integrates federated learning (FL) and deep reinforcement learning (DRL) to dynamically adjust streaming bit rates while preserving user privacy. Experimental results show that ASMS improves user experience by at least 14% compared to existing streaming methods across various network conditions. Therefore, ASMS enhances the social metaverse experience by providing seamless and immersive streaming, even in dynamic and resource-constrained networks, while ensuring that sensitive user data remain on local devices.",Adaptive bit rate (ABR) streaming;extended reality (XR);federated learning (FL);multiagent reinforcement learning;social metaverse,Zijian Long;Haopeng Wang;Haiwei Dong;Abdulmotaleb El Saddik,2025,Journal Article,IEEE Transactions On Computational Social Systems,Social,Artificial Intelligence,Three-layer,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Network,Security,Scalability
2,A Robot Augmented Environment Based on ROS multi-Agent Structure,"This paper presents how to construct an augmented environment for a robot controller software. First, a multi-agent software architecture based on the Robot Operating System (ROS) platform is purposed as a framework to superimpose real-world, virtual and software environments. Then, key settings in the ROS framework that affect the robot-environment interaction are discussed. To resolve such issues, message aggregation/discrimination in the proposed framework are implemented using the Simulink-based time-triggered architecture. Finally, a collision detection problem is demonstrated a built robot interacts with the proposed augmented environment.",augmented environment; Robot Operating System; multi-agent structure; time-triggered architecture,Supachai Vorapojpisut; Ratchagree Amornlikitsin; Matus Lhongpol; Tienake Phuapaiboon,2019,Conference Paper,"International Conference On Control, Robotics And Cybernetics (crc)",Industrial,Simulation,Three-layer,Network Infrastructure,Hybrid AI Techniques,Case Studies,Quantitative,Metaverse,Multi-Agent Interaction,Generalizability
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,"Multi-agent Systems (MASs) are complex systems made up of agents that can be any entities with the ability to interact autonomously and make decentralized decision-making to solve complex problems. Data-driven Agent-based Modeling and Simulation (DDABMS) equips MASs with access to decisions based on near-real-time data, allowing for more informed decisions for systems’ enhancements. Digital Twins (DTs) can further enhance MASs by serving as virtual replicas that enable what-if scenarios exploration and allow continuous validation and refinement of the underlying models with real-time data from MASs. However, we discovered a gap in systematically integrating DTs with DDABMS, as existing efforts focus on specific problems and domains rather than providing a generalized framework to develop DTs with DDABMS. This paper addresses this gap by proposing a generalized framework to develop DTs for MASs with DDABMS. To demonstrate the practicability of our proposed framework for modeling and simulation of complex systems, we present an illustrative case study based on an epidemiological Susceptible-Infected-Recovered model.",digital twins; multi-agent systems; data-driven agent-based modeling; agent-based modeling and simulation; decision making,Hui Min Lee; Ruhollah Jamali; Sanja Lazarova-Molnar,2025,Conference Paper,Procedia Computer Science,Simulation,Artificial Intelligence,Other,Digital Twin,Hybrid AI Techniques,Case Studies,Quantitative,Resource Management,System Design,Scalability
4,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,"This paper utilizes blockchain technology (BT) and circular q-rung orthopair fuzzy sets (Cq-ROFS) to address practical issues related to urban transportation and supply chain management (SCM). The study employs the SWARA-AROMAN approach to evaluate potential blockchain integration possibilities for metaverse urban mobility, providing insights into the robustness and adaptability of solutions.","Supply chain management, SWARA, AROMAN, Electronic toll collection, Metaverse, Blockchain, Decision making, Car-sharing","Shuchen Zhou, Lei Yu, Yinling Wang, Sami Dhabbi, Mouhebeddine Berrima, Mohd Anjum",2024,Original Article,Alexandria Engineering Journal,Simulation,Artificial Intelligence,Blockchain-based,Digital Twin,Game Theory,Theoretical Analysis,Case-based,Network,Validation,Validation Environment
5,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,"This paper proposes a novel deep Reinforcement Learning (RL) structure, namely Asynchronous Actors Hybrid Critic (AAHC), to optimize latency and reliability in the Metaverse over wireless communications. The approach involves two interactive RL agents to handle uplink (UL) and downlink (DL) transmissions, considering joint optimization of computation offloading, channel assignment, and power allocation.","Metaverse, Reinforcement Learning, Latency Optimization, Reliability, Wireless Communications","Wenhan Yu, Terence Jie Chua, Jun Zhao",2023,Journal Article,IEEE Journal On Selected Areas In Communications,Social,Artificial Intelligence,Multi-agent,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Multi-Agent Interaction,Validation Environment
6,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,"The 6th Generation Fixed networks (F6G) with holographic communication and omni-directional sensory coverage is expected to arrive in 2030. Due to the characteristics of cross-integration between the physical and digital worlds, metaverse has been widely recognized as an important application in F6G to be utilized in all walks of life in the future. However, the metaverse applications will generate diversified communication services with differentiated Quality of Service (QoS) requirements, which will be a great challenge for F6G to develop End-to-End (E2E) customized transmission strategies. Traditional single metric-based routing algorithms cannot efficiently orchestrate the network resources to meet the diversified QoS requirements. To solve the above problems, we propose a Cooperative Multi-Agent Reinforcement Learning (Co-MARL) routing algorithm, which measures the differentiated QoS demands through a generic utility function to facilitate multiple agents to solve the multi-objective optimization problem. The simulation results show our scheme outperforms the traditional routing algorithm in meeting the diversified QoS requirements.",F6G;differentiated QoS requirements;Cooperative Multi-Agent Reinforcement Learning;multi-objective routing,"Xueming Zhou, Bomin Mao, Jiajia Liu",2023,Conference article,Wireless And Optical Communications Conference (wocc),Simulation,Artificial Intelligence,Other,Network Infrastructure,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Models,Scalability
7,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,"This paper proposes an adaptive resource allocation and task offloading scheme for HAPS-assisted Internet of Vehicle networks by exploiting the potential of digital twins (DT), blockchain, and federated multi-agent deep reinforcement learning (FMADRL) technologies. The DT network is utilized to intelligently monitor and control the demand and supply of resources in the digital representation of the physical operating environment. A dynamic pricing-based double auction is adopted to model the supplies and demands of resource providers and requesters. A consortium blockchain is deployed to enable distributed and secure resource allocation. The proposed scheme achieves efficient resource allocation and maximizes the utility function while minimizing costs compared to baseline schemes.","Blockchain, digital twin, resource allocation, task offloading, smart vehicles, deep reinforcement learning, federated learning, double auction","Hayla Nahom Abishu, Abegaz Mohammed Seid, Rutvij H. Jhaveri, Thippa Reddy Gadekallu, Aiman Erbad, Mohsen Guizani",2024,Journal article,IEEE Transactions On Intelligent Vehicles,Simulation,Simulation,Blockchain-based,Transportation,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Technology Integration,Validation Environment
8,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,"This article proposes a blockchain-based pseudonym management framework for vehicular edge metaverses, addressing privacy protection challenges during vehicle twin migrations. The framework utilizes cross-chain technology for secure pseudonym distribution and introduces a novel metric, Degree of Privacy Entropy (DoPE), to quantify privacy levels. A multiagent deep reinforcement learning (MADRL) algorithm is employed to optimize pseudonym generation.","Blockchain, Pseudonym Management, Vehicular Edge Metaverse, Privacy Protection, Cross-Chain Technology, MADRL","Jiawen Kang, Xiaofeng Luo, Jiangtian Nie, Tianhao Wu, Haibo Zhou, Yonghua Wang, Dusit Niyato, Shiwen Mao, Shengli Xie",2024,Journal Article,IEEE Internet Of Things Journal,Infrastructure,Blockchain,Blockchain-based,Transportation,Reinforcement Learning,Quantitative Metrics,Quantitative,Resource Management,Models,Validation Environment
9,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach,"Driven by the great advances in metaverse and edge computing technologies, vehicular edge metaverses are expected to disrupt the current paradigm of intelligent transportation systems. As highly computerized avatars of vehicular metaverse users (VMUs), the vehicle twins (VTs) deployed in edge servers can provide valuable metaverse services to improve driving safety and on-board satisfaction for their VMUs throughout journeys. To maintain uninterrupted metaverse experiences, VTs must be migrated among edge servers following the movements of vehicles. This can raise concerns about privacy breaches during the dynamic communications among vehicular edge metaverses. To address these concerns and safeguard location privacy, pseudonyms as temporary identifiers can be leveraged by both VMUs and VTs to realize anonymous communications in the physical space and virtual spaces. However, existing pseudonym management methods fall short in meeting the extensive pseudonym demands in vehicular edge metaverses, thus dramatically diminishing the performance of privacy preservation. To this end, we present a cross-metaverse empowered dual pseudonym management framework. We utilize cross-chain technology to enhance management efficiency and data security for pseudonyms. Furthermore, we propose a metric to assess the privacy level and employ a multiagent deep reinforcement learning (MADRL) approach to obtain an optimal pseudonym generating strategy. Numerical results demonstrate that our proposed schemes are high-efficiency and cost-effective, showcasing their promising applications in vehicular edge metaverses.",Cross-chain; deep reinforcement learning; pseudonym management; twin migration; vehicular metaverse,"Jiawen Kang, Xiaofeng Luo, Jiangtian Nie, Tianhao Wu, Haibo Zhou, Yonghua Wang, Dusit Niyato, Shiwen Mao, Shengli Xie",2024,Journal article,IEEE Internet Of Things Journal,Simulation,Industrial Systems,Blockchain-based,Transportation,Reinforcement Learning,Quantitative Metrics,Quantitative,Resource Management,Dynamic Adaptability,Scalability
10,Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse,"This paper proposes a Blockchain-enabled Intelligent Dispersed Computing Framework (BIDC) for metaverse applications, addressing challenges in computational efficiency and fairness. The framework models tasks as a directed acyclic graph (DAG) and integrates blockchain mining with task offloading. A Dispersed Multi-Agent Reinforcement Learning (DMA) algorithm is employed for dynamic task allocation, and a hybrid blockchain structure ensures fairness and scalability. Experimental results demonstrate BIDC's superior performance in efficiency and fairness compared to existing solutions.","Blockchain, Edge Computing, Task Offloading, Deep Reinforcement Learning, Web 3.0, Metaverse","Zhonghui Wu, Changqiao Xu, Mu Wang, Yunxiao Ma, Zicong Huang, Jingtian Liu, Han Xiao, Lujie Zhong, Luigi Alfredo Grieco",2025,Journal Article,Computer Networks,Blockchain,Blockchain,Blockchain-based,Network Infrastructure,Game Theory,Theoretical Analysis,Quantitative,Network,Dynamic Adaptability,Validation Environment
