ID,Evaluation_Limitations
1,Limited to simulated network conditions; scalability for large-scale users not fully tested
2,Limited to specific robot (TurtleBot3); Dynamics misalignment between real and simulated robots not fully resolved
3,Conceptual framework; Empirical validation pending; Scalability for large systems not tested
4,"Sensitivity to input parameters, Lack of real-world validation, Resource intensiveness, Low adaptability"
5,Limited to simulated environments; real-world deployment challenges not addressed
6,Limited to specific network topology and service type ratios; performance under extremely high traffic loads or more complex service scenarios not fully evaluated; potential for further optimization of agent cooperation strategies
7,Simulation-based evaluation may not fully capture real-world complexities
8,"Limited to simulation-based evaluation, real-world deployment challenges not addressed"
9,Limited to specific network topologies and pseudonym demand distributions; performance under extreme traffic conditions not fully evaluated; potential for optimization in cross-district pseudonym distribution efficiency
10,"Simulation limited to specific scenarios, real-world deployment challenges not addressed"
11,Limited to specific numbers of ESs and UDs; simulation parameters set within specific ranges; performance under extreme conditions not evaluated
12,Limited to chasing scenarios; Does not address orientation alignment for interactions.
13,Limited to literature review and analysis without specific experimental validation or case studies.
14,Limited to warehouse scenes; Does not address real-time performance constraints.
15,Limited to literature review and analysis without specific experimental validation or large-scale case studies.
16,Limited to winter wheat; Requires extensive agronomic expertise for ontology setup.
17,"The simulation is conducted in a controlled environment, and the system's performance in large-scale, real-world disasters remains untested."
18,Simulation-based evaluation may not capture all real-world complexities
19,"The simulation is conducted in a controlled environment, and the algorithm's performance in extremely complex real-world scenarios and large-scale PEMFC systems requires further verification."
20,Simulation-based evaluation may not fully capture real-world dynamic interference scenarios
21,"The evaluation is based on specific datasets and simulation scenarios, and the performance in extremely large-scale and highly complex real-world metaverse environments remains to be verified."
22,Simulation may not fully capture real-world network dynamics
23,"Simulations are conducted in a controlled environment with specific configurations, and the method's performance in extremely dynamic and large-scale real-world scenarios remains to be verified."
24,"Limited to simulation with simple datasets, Scalability issues with complex environments"
25,"The data set used is not publicly available, and the experiments focus on specific AGV models and operational scenarios, limiting generalizability to other environments."
26,"Lack of real-world deployment validation, Limited scalability testing"
27,"The computational experiments are in early stages, and the framework needs validation in more Metaverse learning applications."
28,"The evaluation limitations are as follows: The simulation environment may not fully replicate all real-world dynamics, such as unpredictable environmental interferences and complex user behaviors. The proposed framework is evaluated under specific network configurations (e.g., number of BSs, RIS elements), and its performance in large-scale and highly dynamic networks requires further verification. The current study focuses on single-type service scenarios, and the adaptability to mixed-service environments in practical metaverse applications remains unaddressed."
29,"Simulations assume fixed transmission delay and infinite queue capacity, which may not fully reflect real-world network conditions. The RL model's performance in extremely large-scale networks is untested."
30,"Limited to simulation, No real-world deployment"
31,"Simulations may not fully replicate real-world dynamics (e.g., wind, sensor errors). Physical experiments are limited to small-scale UAV teams, requiring larger-scale validation."
32,"Limited to simulation, No real-world deployment, Fixed video duration assumption"
33,"Simulations focus on specific parameters and may not fully represent complex real-world Metaverse scenarios. The framework’s performance in large-scale, highly dynamic environments needs further validation."
34,"Limited to simulation; lacks real-world dynamic conditions (e.g., varying interference, unpredictable mobility)"
35,"The model needs migration to real-world metaverse communities and consideration of unique VR properties like perception, immersion, and embodiment."
36,No empirical testing; philosophical and technical implications discussed but not validated
37,"The model assumes fixed UL and DL times, and the data translation function is simulated with uniform sampling, which may not fully reflect real-world complexities."
38,Limited to simulation-based evaluation; real-world deployment challenges not addressed.
39,"The model assumes uniform mobility and fixed parameters, which may not fully reflect real-world AR vehicle behavior and environmental complexities."
40,Limited to simulation-based evaluation; real-world scalability and security challenges not fully addressed.
41,The evaluation focuses on a specific network topology and may not fully account for all real-world 6G network complexities or dynamic service changes.
42,Simulation-based; real-world deployment challenges not addressed.
43,"The evaluation focuses on a specific number of users and Planets, and may not fully reflect extremely large-scale Metaverse environments or all service types."
44,Computational complexity increases with task duration and number of UAVs
45,"Simulations focus on specific scenarios with defined MU and MSP numbers, potentially not capturing extrame edge cases or large-scale deployments."
46,"Limited to simulated environments, assumes initial stable state"
47,"Simulations focus on specific scenarios and may not fully represent all real-world Metaverse environments, especially with varying numbers of users and complex interference patterns."
48,Limited real-world conditions; Small-scale user testing; Scene stochasticity constraints
49,"Simulations focus on specific scenarios and may not fully capture all real-world complexities, such as extremely dynamic or large-scale IoT ecosystems with varying node capabilities."
50,"Limited to simulated environments, assumes initial balanced tree state"
51,The study relies solely on simulation without real-world implementation. Sensor placement and agricultural land limitations are not fully addressed.
52,"Limited to simulation, no real quantum hardware tests"
53,"Simulations focus on specific scenarios and may not fully reflect real-world complexities, such as dynamic changes in network conditions and user preferences."
54,"Reliance on simulation, no real-world deployment"
55,"Simulations assume unlimited RSU resources and fixed environments, not fully reflecting real-world dynamic UAV movements and changing network conditions."
56,"Female-only sample, Limited facial tracking"
57,"Cybonto is in an alpha release stage, requiring cross-checking by psychologists and ontology testing. Implementations may face integrity issues from uncareful construct additions/removals."
58,"Metaverse being a novel field with limited literature, model complexity affecting data availability, and differing academic definitions impacting research consistency."
59,The evaluation limitations include potential uncertainties in model parameters and the need for further validation and improvement of simulation results in practical applications.
60,Evaluation limitations include limited case studies and reliance on reviewer subjective scoring.
61,"Fidelity evaluation relies on human judgment, which is subjective. The study's complexity measures may not capture all aspects of model complexity, and results are validated in specific scenarios."
62,Limited to simulation; real-world deployment challenges not addressed
63,"Simulations use simplified opinion models and may not fully capture all real-world social complexities. The study focuses on 100-agent groups, and results for larger groups require further validation."
64,Limited to simulation; real-world deployment challenges not addressed
65,"Simulations assume fixed parameters (e.g., RSU transmission range, task arrival rates) and may not fully model real-world vehicular dynamics. Privacy protection is evaluated under controlled environments, lacking real-world deployment validation."
66,Limited real-world deployment validation
67,Validation Environment
68,Validation Environment
69,Data
70,Data
71,Validation Environment
72,Validation Environment
73,Validation Environment
74,Validation Environment
75,Validation Environment
76,Technology Integration
77,Validation Environment
78,Data
