Article_Number,Title,Abstract,Keywords,ChatGPT,DeepSeek,Sum
009,An Approach for Integrating 3D Virtual Worlds with Multiagent Systems,"Education is incorporating more and more of the capabilities provided by the Internet. One such move is the incorporation of 3D virtual worlds in the learning environment. Another is the increasing development of multiagent systems that support the learner or the tutor. Integrating pedagogically based multiagent systems with 3D virtual worlds could provide a more engaging immersive learning environment. This paper explores the feasibility of integrating a 3D virtual world with a pedagogical multiagent system named QuizMASter, an educational game for elearning that helps students learn their course material through friendly competition. The integration was developed by devising, implementing and testing an approach using open source technologies, namely, Open Wonderland and JADE. The result is encouraging as the integration is technically feasible, not overly difficult and opens a door to further integration opportunities.",Education;Multi User Virtual Environment;3D Virtual Worlds;Multiagent Systems,1,0.5,1.5
016,A Multiagent Tool to Simulate Hybrid Real/Virtual Embedded Agent Societies,"Decomposing a real world problem into a multiagent solution and implementing the corresponding embedded multiagent system are difficult tasks. Agent models must be degraded in respect with resource constraints (memory, CPU) and energomic constraints. These constraints introduce deviations at two levels: the embedded agent and the whole system. This paper introduces hardware/software hybrid simulation of multiagent systems where real physical and virtual simulated agents cohabit. It presents the MultiAgent Hardware Software Simulator (MASH) and a discussion about our experience in using this tool.",embedded multiagent system;simulation,1,0.5,1.5
025,A Normative Agent System to Prevent Cyberbullying,"Automated approaches to prevent the negative effects of cyber bullying mainly focus on affective agents that provide support for victims. The current paper takes a complementary approach, which attempts to minimise the amount of occurrences of cyber bullying in the first place. The approach consists of a system of normative agents, which are physically present in a virtual society. The agents, which reason based on a BDI-model, use a number of techniques to detect various norm violations, including insulting and following. By using rewards and punishments, they try to reinforce the desired behaviour of the users. The system has been implemented and tested within a virtual environment for children between 6 and 12 years old, called Club Time Machine. In a real world experiment, the behaviour of the users of the virtual environment has been logged and analysed by means of a logic-based checking tool. The results show that the normative agents have the potential to reduce the amount of norm violations on the long term.",cyberbullying;normative agents;BDI,1,0.5,1.5
029,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,"The social metaverse is a growing digital ecosystem that blends virtual and physical worlds. It allows users to interact socially, work, shop, and enjoy entertainment. However, privacy remains a major challenge, as immersive interactions require continuous collection of biometric and behavioral data. At the same time, ensuring high-quality, low-latency streaming is difficult due to the demands of real-time interaction, immersive rendering, and bandwidth optimization. To address these issues, we propose adaptive social metaverse streaming (ASMS), a novel streaming system based on federated multiagent proximal policy optimization (F-MAPPO). ASMS leverages F-MAPPO, which integrates federated learning (FL) and deep reinforcement learning (DRL) to dynamically adjust streaming bit rates while preserving user privacy. Experimental results show that ASMS improves user experience by at least 14% compared to existing streaming methods across various network conditions. Therefore, ASMS enhances the social metaverse experience by providing seamless and immersive streaming, even in dynamic and resource-constrained networks, while ensuring that sensitive user data remain on local devices.",Adaptive bit rate (ABR) streaming;extended reality (XR);federated learning (FL);multiagent reinforcement learning;social metaverse,1,1,2.0
030,An Agent Framework for a Modular Serious Game,"The architecture described in this paper provides emotional, believable agents for a serious game environment. Agents are designed to help players learn skills and to evaluate performance. The framework has been designed with a close connection to the development of other system components: the Game Engine for creating the virtual world; the Narrative Engine for driving the story; and the Dialogue System for communication. In order to provide a synchronized, intelligent solution it is essential to adapt traditional designs for independent components to consider the system as a whole. Effective communication and synchronization between system components is created by introducing a new system element: the Translation Engine. In this paper we describe the Agent Framework and associated services within the Translation Engine. This includes communication to other relevant system components but the components themselves are treated as black boxes.",Serious Games;Multi-Agent Systems,1,0.5,1.5
073,A Robot Augmented Environment Based on ROS Multi-Agent Structure,"This paper presents how to construct an augmented environment for a robot controller software. First, a multiagent software architecture based on the Robot Operating System (ROS) platform is purposed as a framework to superimpose real-world, virtual and software environments. Then, key settings in the ROS framework that affect the robot-environment interaction are discussed. To resolve such issues, message aggregation/dissemination in the proposed framework are implemented using the Simulink-based time-triggered architecture. Finally, a collision detection problem is demonstrated a built robot interacts with the proposed augmented environment.","augmented environment, Robot Operating System, multi-agent structure, time-triggered architecture",1,0.5,1.5
083,A Behavior-Authoring Framework for Multiactor Simulations,"Interest has been growing in the behavioral animation of autonomous actors in virtual worlds. However, authoring complicated interactions between multiple actors in a way that balances control flexibility and automation remains a considerable challenge. A proposed behavior-authoring framework gives users complete control over the domain of the system: the state space, action space, and cost of executing actions. To specialize actors, the framework uses effect and cost modifiers, which modify existing action definitions, and constraints, which prune action choices in a state-dependent manner. The framework groups actors with common or conflicting goals to form a composite domain, and a multiagent planner generates complicated interactions between multiple actors. The Web extra is a video that shows how multiactor simulations should aim to strike a happy medium between the automation of generation and the flexibility of specification.",crowds;high-level behaviors;coordination;authoring;virtual worlds;computer graphics;graphics and multimedia,0.5,1,1.5
124,A Conceptual Framework for Digital Twins of Multi-Agent Systems,"Multi-agent Systems (MASs) are complex systems made up of agents that can be any entities with the ability to interact autonomously and make decentralized decision-making to solve complex problems. Data-driven Agent-based Modeling and Simulation (DDABMS) equips MASs with access to decisions based on near-real-time data, allowing for more informed decisions for systems’ enhancements. Digital Twins (DTs) can further enhance MASs by serving as virtual replicas that enable what-if scenarios exploration and allow continuous validation and refinement of the underlying models with real-time data from MASs. However, we discovered a gap in systematically integrating DTs with DDABMS, as existing efforts focus on specific problems and domains rather than providing a generalized framework to develop DTs with DDABMS. This paper addresses this gap by proposing a generalized framework to develop DTs for MASs with DDABMS. To demonstrate the practicability of our proposed framework for modeling and simulation of complex systems, we present an illustrative case study based on an epidemiological Susceptible-Infected-Recovered model.","digital twins, multi-agent systems, data-driven agent-based modeling, agent-based modeling, simulation, decision making",1,0.5,1.5
129,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,"In this paper, we utilise blockchain technology (BT) and circular q-rung orthopair fuzzy sets (Cq-ROFS) to address practical issues related to urban transportation and supply chain management (SCM). Recognising the weaknesses of earlier approaches such as circular intuitionistic fuzzy sets (C-IFS), we work Cq-ROFS to better accommodate imprecise input. Novel approaches that use into metaverse settings are being investigated as a means of addressing the complex problems associated with urban mobility. This study use the SWARA-AROMAN approach to evaluate potential blockchain integration possibilities for metaverse urban mobility. Sensitivity analysis and comprehensive evaluation yield powerful insights into the robustness and adaptability of solutions. With these findings at their disposal, policymakers will be more equipped to take on unpredictability and take advantage of opportunities for sustainable urban mobility. To enhance urban transportation solutions in the dynamic metaverse, future strategies should concentrate on improving processes and exploring novel technology. Ultimately, this research emphasises how critical it is to foster interdisciplinary collaboration and ongoing innovation if we hope to influence the patterns of urban mobility in the metaverse.","Supply chain management, SWARA, AROMAN, Electronic toll collection, Metaverse, Blockchain, Decision making, Car-sharing",1,0.5,1.5
294,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,"Technology advancements in wireless communications and high-performance Extended Reality (XR) have empowered the developments of the Metaverse. The demand for the Metaverse applications and hence, real-time digital twinning of real-world scenes is increasing. Nevertheless, the replication of 2D physical world images into 3D virtual objects is computationally intensive and requires computation offloading. The disparity in transmitted object dimension (2D as opposed to 3D) leads to asymmetric data sizes in uplink (UL) and downlink (DL). To ensure the reliability and low latency of the system, we consider an asynchronous joint UL-DL scenario where in the UL stage, the smaller data size of the physical world images captured by multiple extended reality users (XUs) will be uploaded to the Metaverse Console (MC) to be construed and rendered. In the DL stage, the larger-size 3D virtual objects need to be transmitted back to the XUs. We design a novel multi-agent reinforcement learning algorithm structure, namely Asynchronous Actors Hybrid Critic (AAHC), to optimize the decisions pertaining to computation offloading and channel assignment in the UL stage and optimize the DL transmission power in the DL stage. Extensive experiments demonstrate that compared to proposed baselines, AAHC obtains better solutions with satisfactory training time.  © 1983-2012 IEEE.",Metaverse; Reinforcement learning; resource allocation; ultra-reliable low-latency communication; wireless communications,1,1,2.0
302,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,"The 6th Generation Fixed networks (F6G) with holographic communication and omni-directional sensory coverage is expected to arrive in 2030. Due to the characteristics of cross-integration between the physical and digital worlds, metaverse has been widely recognized as an important application in F6G to be utilized in all walks of life in the future. However, the metaverse applications will generate diversified communication services with differentiated Quality of Service (QoS) requirements, which will be a great challenge for F6G to develop End-to-End (E2E) customized transmission strategies. Traditional single metric-based routing algorithms cannot efficiently orchestrate the network resources to meet the diversified QoS requirements. To solve the above problems, we propose a Cooperative Multi-Agent Reinforcement Learning (Co-MARL) routing algorithm, which measures the differentiated QoS demands through a generic utility function to facilitate multiple agents to solve the multi-objective optimization problem. The simulation results show our scheme outperforms the traditional routing algorithm in meeting the diversified QoS requirements.  © 2023 IEEE.",Cooperative Multi-Agent Reinforcement Learning; differentiated QoS requirements; F6G; multi-objective routing,1,1,2.0
078,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,"Vehicular edge computing (VEC) is a new paradigm in smart cities with the potential to provide and manage resources such as computing and storage closer to resourceconstrained smart vehicles (SV) to support ultra-reliable lowlatency communications and knowledge sharing. However, it is challenging to make optimal resource allocation and offloading decisions due to the mobility, ubiquitous communications, and diverse resource demands of SVs and the dynamic nature of the vehicular network topology. In this paper, we propose an adaptive resource allocation and task offloading scheme for HAPS-assisted Internet of Vehicle networks by exploiting the potential of digital twins (DT), blockchain, and federated multiagent deep reinforcement learning (FMADRL) technologies to address these issues. The DT network is utilized to intelligently monitor and control the demand and supply of resources in the digital representation of the physical operating environment. We adopt a dynamic pricing-based double auction to model the supplies and demands of resource providers and requesters. This enables resource providers and SVs to make adaptive and optimal resource allocation and task offloading decisions. In addition, we deploy a consortium blockchain to enable distributed and secure resource allocation. The resource allocation and task offloading multi-objective optimization problem is formulated as a multiagent extension of the Markov decision process and solved using an FMADRL-based multi-agent deep deterministic policy gradient (FMADDPG) algorithm. The numerical results show that the proposed scheme archives efficient resource allocation and maximizes the utility function while minimizing costs compared to the baseline schemes.",Blockchain;digital twin;resource allocation;task offloading;smart vehicles;deep reinforcement learning;federated learning;double auction,1,1,2.0
080,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,"Driven by the great advances in metaverse and edge computing technologies, vehicular edge metaverses are expected to disrupt the current paradigm of intelligent transportation systems. As highly computerized avatars of vehicular metaverse users (VMUs), the vehicle twins (VTs) deployed in edge servers can provide valuable metaverse services to improve driving safety and on-board satisfaction for their VMUs throughout journeys. To maintain uninterrupted metaverse experiences, VTs must be migrated among edge servers following the movements of vehicles. This can raise concerns about privacy breaches during the dynamic communications among vehicular edge metaverses. To address these concerns and safeguard location privacy, pseudonyms as temporary identifiers can be leveraged by both VMUs and VTs to realize anonymous communications in the physical space and virtual spaces. However, existing pseudonym management methods fall short in meeting the extensive pseudonym demands in vehicular edge metaverses, thus dramatically diminishing the performance of privacy preservation. To this end, we present a cross-metaverse empowered dual pseudonym management framework. We utilize cross-chain technology to enhance management efficiency and data security for pseudonyms. Furthermore, we propose a metric to assess the privacy level and employ a multiagent deep reinforcement learning (MADRL) approach to obtain an optimal pseudonym generating strategy. Numerical results demonstrate that our proposed schemes are high-efficiency and cost-effective, showcasing their promising applications in vehicular edge metaverses.",Cross-chain;deep reinforcement learning;pseudonym management;twin migration;vehicular metaverse,1,1,2.0
310,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks: A Hierarchical Multi-Agent DRL Approach,"The advent of 6G networks promises transformative advances in communication technologies, ushering in an era of unprecedented connectivity, low-latency communication, and ubiquitous computing. However, one of the key challenges in realizing the full potential of 6G lies in efficiently managing and trading resources across diverse domains in terrestrial and non-terrestrial integrated networks (TN-NTN). In this paper, we introduce a novel multi-domain resource trading approach that integrates blockchain technology, hierarchical multi-agent deep reinforcement learning (HMADRL), and multi-leader multi-follower (MLMF) Stackelberg games to address this challenge. HMADRL provides an intelligent and adaptable framework for resource requesters and provider agents to learn optimal resource allocation methods in multiple domains. The MLMF Stackelberg game framework represents the strategic interactions between virtual service providers (SPs), network operators, and computing resource providers to enable them to make dynamic resource allocation and pricing decisions. This hierarchical decision-making strategy ensures a structured bargaining mechanism where leaders optimize their revenue by setting resource pricing and followers strategically decide on their resource-buying strategies. In the proposed scheme, the blockchain includes smart contracts that autonomously execute resource trading agreements, ensuring that transactions are tamper-proof and executed according to predefined rules. The proposed method optimizes the system's utility by dynamically adjusting the pricing strategy to changing resource demands. The simulation results show that our proposed HMADRL algorithm increases the utility by 19.645%, 33.018%, and 48.791% compared to the modified multi-agent deep deterministic policy gradient (MADDPG), MADDPG, and DDPG algorithms, respectively.  © 1975-2011 IEEE.",Aerial-MEC; consortium blockchain; HMADRL; Metaverse; network slicing; resource trading; Stackelberg game; TN-NTN,1,1,2.0
