ID,Experimental_Design
1,"Two rendering servers, global agent server, multiple VR/MR headsets; diverse network conditions simulated"
2,TurtleBot3 robot in real-world and Gazebo-simulated environments; MATLAB/Simulink for controller implementation
3,"Population of 10,000 individuals categorized into SIR groups; Real-time data integration from multiple sources"
4,Case study with four alternatives and eight criteria
5,"Simulated environment with varying numbers of XR users and channels, Rician fading channel model"
6,"City network topology with 11 router nodes, 14 fiber links; each router has 10 Gbps sending rate, 2.5 GB cache; packet size 20 KB, fiber link transmission rate 40 Gbps; three service types with different QoS weightings"
7,"Four clusters with 10-30 SVs each, 1 HAPS, 4 RSUs, Python 3.6 environment"
8,"Simulation on FISCO BCOS platform with WeCross, comparison with single-chain system and other algorithms"
9,"Simulation on FISCO BCOS platform with WeCross; three local metaverses with varying VMU counts; Poisson-distributed pseudonym demands; comparison with MADDPG, MATD3, genetic algorithm, random, and greedy schemes"
10,"Simulation on OMNeT++ with INET framework, comparison with Local, Random, Greedy, and CODIA schemes"
11,"Simulation with 3 edge servers, each managing 6 UDs; UDs randomly distributed; input data size following Poisson distribution; computing requirements with specific ratios; ES computing capacity from a set; initialized reputation matrix; specific values for relative weight and importance coefficients"
12,"Simulations in small, medium, and large physical environments; Live-user experiments with guided and free walking scenarios"
13,"Not explicitly detailed in the provided text, but involves integration and analysis of existing technologies and literature on cognitive digital twins, IoRT, generative AI, and cyber-physical systems."
14,Simulations on Scan2.0 dataset with 1-4 agents; Live-user experiments with guided and free walking
15,"Not explicitly detailed in the provided text, but involves analysis of existing literature, technologies, and application scenarios related to DT in IoT."
16,Testing on real farm data; Comparison of predicted vs. actual crop yields
17,"Implementation involves data collection, behavior tree modeling, agent integration, simulation testing, and an evaluation framework. The system is tested in simulated fire, earthquake, and chemical/biological emergency scenarios."
18,"Comparison with MA-CA2C, MA-DDPG, and MA-DQN algorithms"
19,"Three case studies: step disturbance, parameter change, and random disturbance. The algorithm's performance is tested under different load conditions and parameter changes, and compared with multiple advanced and conventional algorithms."
