"ID",Title,"Abstract","Keywords",Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations,"Authors","Year",Source_Name,Publication_Type
"1",A Bayesian Framework-Based Digital Twin Wireless System Control,"Commonly adopted in the manufacturing and aerospace sectors, digital twin (DT) platforms are increasingly seen as a promising paradigm to control, monitor, and analyze software-based, &#x201C;open&#x201D;, communication systems that are expected to dominate 6G deployments. Notably, DT platforms provide a sandbox in which to test artificial intelligence (AI) solutions for communication systems, potentially reducing the need to collect data and test algorithms in the field, i.e., on the physical twin (PT). A key challenge in the deployment of DT systems is to ensure that virtual control optimization, monitoring, and analysis at the DT are safe and reliable, avoiding incorrect decisions caused by &#x201C;model exploitation&#x201D;. To address this challenge, this paper presents a general Bayesian framework with the aim of quantifying and accounting for model uncertainty at the DT that is caused by limitations in the amount and quality of data available at the DT from the PT. In the proposed framework, the DT builds a Bayesian model of the communication system, which is leveraged to enable core DT functionalities such as control via multi-agent reinforcement learning (MARL), monitoring of the PT for anomaly detection, prediction, data-collection optimization, and counterfactual analysis. To exemplify the application of the proposed framework, we specifically investigate a case-study system encompassing multiple sensing devices that report to a common receiver. Experimental results validate the effectiveness of the proposed Bayesian framework as compared to standard frequentist model-based solutions.","Digital Twin, 6G, Reinforcement Learning, Bayesian Learning, Model-Based Learning","Digital Twin","Multi-Agent System and Reinforcement Learning","Digital Twin","Communication and Computing",Multi-Agent System,"Quantitative Analysis",Simulation Experiment Design,Multi-Agent Collaboration,Models and Algorithms,Validation Environment,"tClement Ruah, Osvaldo Simeone, Bashir M. Al-Hashimi",2023,IEEE Journal on Selected Areas in Communications,Journal
"2",A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,"With the development of artificial intelligence, cloud-edge computing and virtual reality, the industrial design that originally depends on human imagination and computing power can be transitioned to metaverse applications in smart manufacturing, which offloads the services of metaverse to cloud and edge platforms for enhancing quality of service (QoS), considering inadequate computing power of terminal devices like industrial sensors and access points (APs). However, large overhead and privacy exposure occur during data transmission to cloud, while edge computing devices (ECDs) are at risk of overloading with redundant service requests and difficult central control. To address these challenges, this paper proposes a minority game (MG) based cloud-edge service offloading method named COM for metaverse manufacturing. Technically, MG possesses a distribution mechanism that can minimize reliance on centralized control, and gains its effectiveness in resource allocation. Besides, a dynamic control of cut-off value is supplemented on the basis of MG for better adaptability to network variations. Then, agents in COM (i.e., APs) leverage reinforcement learning (RL) to work on MG history, offloading decision, QoS mapping to state, action and reward, for further optimizing distributed offloading decision-making. Finally, COM is evaluated using a variety of real-world datasets of manufacturing. The results indicate that COM has 5.38% higher QoS and 8.58% higher privacy level comparing to benchmark method.","Cloud-Edge Computing, Metaverse, Minority Game, Reinforcement Learning, Service Offloading","Metaverse","Edge-Cloud Collaboration","Edge-Cloud Collaboration","Decision and Management",Multi-Agent System,"Quantitative Analysis",Case Analysis,"Computing and Resource Management","Scenario Scalability",Data,"Haolong Xiang, Xuyun Zhang, Muhammad Bilal","2023",Software: Practice and Experience,Journal
"3",A Conceptual Framework for Digital Twins in Multi-Agent System,"Multi-agent Systems (MASs) are complex systems made up of agents that can be any entities with the ability to interact autonomously and make decentralized decision-making to solve complex problems. Data-driven Agent-based Modeling and Simulation (DDABMS) equips MASs with access to decisions based on near-real-time data, allowing for more informed decisions for systems’ enhancements. Digital Twins (DTs) can further enhance MASs by serving as virtual replicas that enable what-if scenarios exploration and allow continuous validation and refinement of the underlying models with real-time data from MASs. However, we discovered a gap in systematically integrating DTs with DDABMS, as existing efforts focus on specific problems and domains rather than providing a generalized framework to develop DTs with DDABMS. This paper addresses this gap by proposing a generalized framework to develop DTs for MASs with DDABMS. To demonstrate the practicability of our proposed framework for modeling and simulation of complex systems, we present an illustrative case study based on an epidemiological Susceptible-Infected-Recovered model.","Digital Twin, Multi-Agent System, Data-Driven Agent Modeling, Agent-Based Modeling and Simulation, Decision-Making","Digital Twin","Multi-Agent System and Reinforcement Learning",Multi-Agent System,"Multi-Agent System",Other Techniques,"Quantitative Analysis","Simulation Experiment Design","Data and Models","System Design","Validation Environment","Hui Min Lee, Ruhollah Jamali, Sanja Lazarova-Molnar","2025",Procedia Computer Science,"Conference Paper"
"4",A Distributed Asset Trading Mechanism Based on Automated Negotiation,"Asset digitization is an important part of digital society. However, there are many problems in existing centralized asset trading platforms, for example, the platform has the dominant power in the transaction process and holds a large amount of user data, which is detrimental to users’ interests. To solve these problems, we propose a distributed asset trading mechanism based on automated negotiation. Firstly, we propose a distributed asset trading framework based on the consortium blockchain, which provides trust guarantees for trading through the access control of the consortium blockchain, represents the ownership of assets through non-fungible tokens (NFT), and reduces the blockchain burden by moving the negotiation process off the blockchain through the state channel technology. Then, to reduce the negotiation cost and improve the negotiation results, we propose a bilateral automated multi-issue negotiation model for asset trading. The experimental results show that the negotiation model performs well in terms of success rate and negotiation time, and can achieve win-win agreements.","Asset Trading, Multi-Agent System, Bilateral Automated Negotiation, NFT, Consortium Blockchain, State Channel","Blockchain","Multi-Agent System and Reinforcement Learning","Blockchain Integration","Multi-Agent System","Blockchain","Quantitative Analysis","Simulation Experiment Design","Blockchain and Security","Scenario Scalability",Data,"Jiahao Zeng, Xiuhuan Zang, Chang Liu, Zhiyi Chen, Shaoyong Guo, Feng Qi, Jianhong Pan","2023","IEEE International Conference on Metaverse Computing, Networking, and Applications","Conference Paper"
"5",A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,"Vehicular edge computing (VEC) allows vehicles to process part of the tasks locally at the network edge while offloading the rest of the tasks to a centralized cloud server for processing. A massive volume of tasks generated by the Internet of Vehicles (IoV) leads to buffer overflow that causes higher latency. Elevating latency, in turn, can increase network energy consumption. Both higher latency and energy consumption lead to a degradation of network performance. Therefore, VEC design requires a balance between latency and energy consumption tradeoff. To reduce overwhelming amount of offloading to edge servers, a cooperative cluster-based shared offloading strategy has been proposed in this work. We use digital twin technology in VEC for managing and adapting to environmental dynamic changes. Then, we leverage Lyapunov (Ly) optimization to transform the stochastic offloading problem into a more manageable deterministic form. Finally, we present a decentralized coordination graph (CG)-driven Ly-based multiagent deep deterministic policy gradient (CG-LyMADDPG) algorithm that trains agents toward energy efficient optimal offloading policy while maintaining queue stability at a maximum delay constraint. The experimental result shows that the proposed learning significantly outperforms the baseline algorithms for energy savings while maintain queue stability.","Internet of Vehicles (IoV), Lyapunov (Ly) Optimization, Mobile Edge Computing (MEC), Multi-Agent (MA)DDPG, Task Offloading","Digital Twin","Communication Network and IoT","Edge-Cloud Collaboration","Terminals and Devices",Multi-Agent System,"Quantitative Analysis","Simulation Experiment Design","Communication and Network","Validation and Deployment",Validation Environment,"Md Zahangir Alam, Suryaia Rahman, Md Asif Bin Khaled, Ashraful Islam, Abbas Jamalipour","2025","IEEE IoT Journal","Journal"
"6",A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,"As a typical deterministic network, the Industrial Internet of Things (IIoT) has strict requirements on the task processing delay. IIoT leverages edge computing to deliver low-latency services efficiently. However, this requires mobile Internet of Things (IoT) devices to execute reasonable task offloading decisions. To minimize disruption in IIoT operations and facilitate cost-effective execution, our approach capitalizes on the synergy of Digital Twin (DT) for enhanced virtual-real coordination in decision-making. We introduce an innovative solution for mobile inspection tasks within a DITEN-enhanced IIoT framework. This solution, grounded in A-MADDPG based partial offloading, not only addresses the challenges posed by IIoT but also transforms the problem into an optimization problem with constraints. By conceptualizing it as a Markov Decision Process (MDP), we integrate a carefully designed attention mechanism into the MADDPG algorithm, named as Attention enhanced Multi-Agent Deep Deterministic Policy Gradient(A-MADDPG), forging a robust and effective solution. Experimental results underscore the superiority of our proposed method, demonstrating remarkable convergence and outperforming existing baselines in reducing task processing latency.","Industrial IoT, Edge Computing, Digital Twin, Task Offloading","Digital Twin","Communication Network and IoT","Edge-Cloud Collaboration","Terminals and Devices","Deep Learning","Quantitative Analysis","Simulation Experiment Design","Computing and Resource Management","Performance Optimization",Scenario,"Lingling Liao, Ming Tao, Renping Xie, Chengxian Zhuang","2024","IEEE International Symposium on Parallel and Distributed Processing and Applications","Conference Paper"
"7","A Metaverse: Taxonomy, Components, Applications, and Open Challenges","Unlike previous studies on the Metaverse based on Second Life, the current Metaverse is based on the social value of Generation Z that online and offline selves are not different. With the technological development of deep learning-based high-precision recognition models and natural generation models, Metaverse is being strengthened with various factors, from mobile-based always-on access to connectivity with reality using virtual currency. The integration of enhanced social activities and neural-net methods requires a new definition of Metaverse suitable for the present, different from the previous Metaverse. This paper divides the concepts and essential techniques necessary for realizing the Metaverse into three components (i.e., hardware, software, and contents) and three approaches (i.e., user interaction, implementation, and application) rather than marketing or hardware approach to conduct a comprehensive analysis. Furthermore, we describe essential methods based on three components and techniques to Metaverse’s representative Ready Player One, Roblox, and Facebook research in the domain of films, games, and studies. Finally, we summarize the limitations and directions for implementing the immersive Metaverse as social influences, constraints, and open challenges.","Artificial Intelligence, Metaverse, Cyberworld, Virtual Avatar, Extended Reality","Metaverse","Digital Twin and Metaverse",Metaverse Multi-Layer,"Virtual and Digital","Deep Learning","Mixed Methods","Hybrid Experiment Design","Metaverse","Technology Integration",Security,"Sang-Min Park, Young-Gab Kim","2022","IEEE Access","Journal"
"8",A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,"With the development of IoT, virtual reality, cloud computing, and digital twin technologies, the advent of metaverse has attracted increasing world attention. Metaverse integrates and applies multiple emerging technologies to cloud education, smart health, digital government, and emergency evacuation. Evacuation systems are of great importance to ensure life safety. Due to panic, people in a building may not be able to make the right judgment to choose an optimal path to leave the building in case of an emergency event such as a fire. As a branch of machine learning, deep reinforcement learning (DRL) can model an evacuation scene, collect real-time information, such as crowd distribution and disaster location, find the optimal escape path with a path-planning algorithm, induce the movement state of the crowd through dynamic guidance signs, and improve the evacuation efficiency. In this article, we apply DRL technology to solve the efficient emergency evacuation problem with the help of metaverse and show a training system built upon metaverse that would enable evacuees to choose the most efficient route and leave the building in the least amount of time. The information collected by various sensors, such as video cameras and smoke detectors, can give a whole picture of the status of the building in a real-time manner. The collected data are processed by cloud servers in which a DRL model is trained to dynamically guide evacuees. Experiments in different simulation scenes demonstrate that the proposed method is superior to the traditional static guidance method in saving evacuation time. It can effectively avoid major crowding along the evacuation route and improve evacuation efficiency.","Industrial IoT, Edge Computing, Digital Twin, Task Offloading","Digital Twin","Communication Network and IoT","Edge-Cloud Collaboration","Terminals and Devices","Deep Learning","Quantitative Analysis","Simulation Experiment Design","Computing and Resource Management","Scenario Scalability","Validation Environment","Jinlei Gu, Jiacun Wang, Renping Xie, Chengxian Zhuang",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","Journal"
"9",A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,"The unprecedented rise in research interest in artificial intelligence (AI) and related areas, such as computer vision, machine learning, robotics, and cognitive science, during the last decade has fuelled the development of software platforms that can simulate embodied agents in 3D virtual environments. A simulator that closely mimics the physics of a real-world environment with embodied agents can allow open-ended experimentation, and can circumvent the need for real-world data collection, which is time-consuming, expensive, and in some cases, impossible without privacy invasion, thereby playing a significant role in progressing AI research. In this article, we review 22 simulation platforms reported in the literature. We classify them based on visual environment and physics. We present a comparison of these simulators based on their properties and functionalities from a user’s perspective. While no simulator is better than the others in all respects, a few stand out based on a rubric that encompasses the simulators’ properties, functionalities, availability and support. This review will guide users to choose the appropriate simulator for their application and provide a baseline to researchers for developing state-of-the-art simulators.","Simulator, Embodied Agent, Virtual Environment, Perception, Action, Interaction, Navigation, Metaverse, Human Digital Twin","Simulation Platform","Digital Twin and Metaverse","Multi-Agent System","Multi-Agent System",Multi-Agent System,"Quantitative Analysis","Simulation Experiment Design","Metaverse","Multi-Agent Interaction",Security,"Deepti Prit Kaur, Narinder Pal Singh, Bonny Banerjee","2023","Artificial Intelligence Review","Journal"
"10",A Robot Augmented Environment Based on ROS Multi-Agent Structure,"This paper presents how to construct an augmented environment for a robot controller software. First, a multiagent software architecture based on the Robot Operating System (ROS) platform is purposed as a framework to superimpose real-world, virtual and software environments. Then, key settings in the ROS framework that affect the robot-environment interaction are discussed. To resolve such issues, message aggregation/dissemination in the proposed framework are implemented using the Simulink-based time-triggered architecture. Finally, a collision detection problem is demonstrated a built robot interacts with the proposed augmented environment.","Learning Analytics, Data-Driven Evaluation, Multi-Agent System","Simulation Platform","Multi-Agent System and Reinforcement Learning","Multi-Agent System","Multi-Agent System","Other Techniques","Quantitative Analysis",Case Analysis,"Computing and Resource Management","System Design",Data,"Supachai Vorapojpisut, Matus Longob, Rachgrit Amornkitkisin, Tinakorn Puangpayome",2019,International Conference on CRC,"Conference Paper"
