ID,Title,Year,Venue,Platform_Type,Application_Domain,Agent_Role,Evaluation_Method,Challenges
1,A Bayesian Framework-Based Digital Twin Wireless System Control,2023,IEEE Journal On Selected Areas In Communications,Simulation,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Multi-Agent Collaboration
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,2023,Software: Practice and Experience,Metaverse,Edge-Cloud Collaboration,Decision and Management,Quantitative Analysis,Computing and Resource Management
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,2025,Procedia Computer Science,Digital Twin,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Quantitative Analysis,Data and Models
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,2023,"IEEE International Conference on Metaverse Computing, Networking, and Applications",Blockchain,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Quantitative Analysis,Blockchain and Security
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,2025,IEEE IoT Journal,Digital Twin,Communication Network and IoT,Terminals and Devices,Quantitative Analysis,Communication and Network
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Digital Twin,Communication Network and IoT,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,IEEE Access,Metaverse,Digital Twin and Metaverse,Virtual and Digital,Mixed Methods,Metaverse
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,2023,Wireless And Optical Communications Conference,Simulation,Artificial Intelligence,Network Infrastructure,Comparative Analysis,Network
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,2023,Artificial Intelligence Review,Simulation Platform,Digital Twin and Metaverse,Multi-Agent System,Quantitative Analysis,Metaverse
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,2019,"International Conference On Control, Robotics And Cybernetics",Industrial,Simulation,Network Infrastructure,Case Studies,Metaverse
11,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction",2016,International Symposium On Computers In Education,Simulation,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Metaverse
12,A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,2024,IEEE International Symposium on Parallel and Distributed Processing and Applications,Digital Twin,Communication Network and IoT,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
13,Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,2022,IEEE Transactions on Industrial Informatics,Digital Twin,Edge-Cloud Collaboration,Terminals and Devices,Quantitative Analysis,Communication and Network
14,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,2025,IEEE Transactions On Computational Social Systems,Social,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Network
15,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,2024,Alexandria Engineering Journal,Simulation,Artificial Intelligence,Digital Twin,Theoretical Analysis,Network
16,"AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives",2023,IEEE Vehicular Technology Magazine,Edge-Cloud,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Data and Models
17,AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,2023,IEEE Network,Communication Network,Communication Network and IoT,Decision and Management,Quantitative Analysis,Computing and Resource Management
18,Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,2024,IEEE Access,Simulation Platform,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Quantitative Analysis,Multi-Agent Collaboration
19,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions",2024,Electronics,Metaverse,Artificial Intelligence and Machine Learning,Virtual and Digital,Mixed Methods,Data and Models
20,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,2023,IEEE Journal On Selected Areas In Communications,Social,Artificial Intelligence,Learning,Comparative Analysis,Resource Management
21,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,2024,IEEE Internet Of Things Journal,Infrastructure,Blockchain,Transportation,Quantitative Metrics,Resource Management
22,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach,2024,IEEE Internet Of Things Journal,Simulation,Industrial Systems,Transportation,Quantitative Metrics,Resource Management
23,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,2024,IEEE Transactions On Intelligent Vehicles,Simulation,Simulation,Transportation,Comparative Analysis,Network
24,Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse,2025,Computer Networks,Blockchain,Blockchain,Network Infrastructure,Theoretical Analysis,Network
25,Chasing in virtual environment: Dynamic alignment for multi-user collaborative redirected walking,2025,Virtual Reality & Intelligent Hardware,Social,Simulation,IoT Industrial,Case Studies,Multi-Agent Collaboration
26,"Cognitive digital twin-based Internet of Robotic Things, multi-sensory extended reality and simulation modeling technologies, and generative artificial intelligence and cyber–physical manufacturing systems in the immersive industrial metaverse",2024,Equilibrium. Quarterly Journal Of Economics And Economic Policy,Industrial,Simulation,Digital Twin,Case Studies,Resource Management
27,CollaborativeBEV: Collaborative bird eye view for reconstructing crowded environment,2024,Image And Vision Computing,Simulation,Simulation,Digital Twin,Quantitative Metrics,Models
28,Constructing the Metaverse With a New Perspective: UAV FoV-Assisted Low-Latency Imaging,2025,IEEE Wireless Communications Letters,Metaverse,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Metaverse
29,Control and Decision Theory in Metaverse: A Survey,2022,2022 China Automation Congress (CAC),Metaverse,Digital Twin and Metaverse,Virtual and Digital,Qualitative Analysis,Computing and Resource Management
30,Cooperative End-Edge-Cloud Computing and Resource Allocation for Digital Twin Enabled 6G Industrial IoT,2024,IEEE Journal of Selected Topics in Signal Processing,Edge-Cloud,Communication Network and IoT,Terminals and Devices,Quantitative Analysis,Metaverse
31,Cooperative Multiagent Deep Reinforcement Learning for Computation Offloading in Digital Twin Cyber–Physical–Social System,2025,IEEE Transactions On Computational Social Systems,Social,Industrial Systems,Network Infrastructure,Comparative Analysis,Network
32,Cooperative Reinforcement Learning for Military Drones over Large-Scale Battlefields,2024,IEEE Transactions on Intelligent Vehicles,Simulation Platform,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Quantitative Analysis,Multi-Agent Collaboration
33,Csound vs. ChucK: Sound Generation for XR Multi-Agent Audio Systems in the Meta Quest 3 Using the Unity Game Engine,2024,Proceedings of the Sound and Music Computing Conference,VR/AR,Digital Twin and Metaverse,Virtual and Digital,Quantitative Analysis,Metaverse
34,Deep Reinforcement Learning based Multi-attribute Auction Model for Resource Allocation in Vehicular AIGC Services,2024,2024 International Conference on Generative AI and Information Security (GAIIS 2024),Metaverse,AI and Machine Learning,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
35,Deep Reinforcement Learning-based Stackelberg Game for Energy Trading in Power Grid Metaverses,2024,IEEE Smart World Congress,Simulation,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Resource Management
36,Developing enhanced conversational agents for social virtual worlds,2019,Neurocomputing,Metaverse,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Quantitative Analysis,Metaverse
37,Development of crop-simulation multiagent system for smart digital twin of plant,2023,Technical Report - Russian Science Foundation,Infrastructure,Artificial Intelligence,Digital Twin,Case Studies,Models
38,Digital Twin and Artificial Intelligence-Empowered Panoramic Video Streaming: Reducing Transmission Latency in the Extended Reality-Assisted Vehicular Metaverse,2023,IEEE Vehicular Technology Magazine,Metaverse,Digital Twin and Metaverse,Virtual and Digital,Quantitative Analysis,Communication and Network
39,"Digital Twin in the IoT Context: A Survey on Technical Features, Scenarios, and Architectural Models",2020,IEEE Access,Infrastructure,Simulation,Digital Twin,Theoretical Analysis,Metaverse
40,Digital Twin-Assisted Space-Air-Ground Integrated Networks for Vehicular Edge Computing,2024,IEEE Journal of Selected Topics in Signal Processing,Communication Network,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Communication and Network
