ID,Title,Year,Venue,PlatformType_R1,PlatformType_R2,ApplicationDomain_R1,ApplicationDomain_R2,AgentRole_R1,AgentRole_R2,EvaluationMethod_R1,EvaluationMethod_R2,Challenges_R1,Challenges_R2
1,A Bayesian Framework-Based Digital Twin Wireless System Control,2023,IEEE Journal On Selected Areas In Communications,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Transportation,Quantitative Metrics,Quantitative Metrics,Multi-Agent Collaboration,Communication and Network
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,2023,Software: Practice and Experience,Metaverse,Metaverse,Edge-Cloud Collaboration,Edge-Cloud Collaboration,Decision and Management,Decision and Management,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,2025,Procedia Computer Science,Digital Twin,Digital Twin,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,2023,"IEEE International Conference on Metaverse Computing, Networking, and Applications",Blockchain,Blockchain,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Quantitative Analysis,Blockchain and Security,Blockchain and Security
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,2025,IEEE IoT Journal,Digital Twin,Digital Twin,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Metrics,Communication and Network,Communication and Network
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Digital Twin,Digital Twin,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Theoretical Analysis,Computing and Resource Management,Computing and Resource Management
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,IEEE Access,Metaverse,Industrial,Digital Twin and Metaverse,Artificial Intelligence and Machine Learning,Virtual and Digital,Virtual and Digital,Mixed Methods,Mixed Methods,Metaverse,Metaverse
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,2023,Wireless And Optical Communications Conference,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Comparative Analysis,Comparative Analysis,Network,Network
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,2023,Artificial Intelligence Review,Simulation Platform,Digital Twin,Digital Twin and Metaverse,Digital Twin and Metaverse,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Case Analysis,Metaverse,Metaverse
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,2019,"International Conference On Control, Robotics And Cybernetics",Industrial,Industrial,Simulation,AI and Machine Learning,Network Infrastructure,Network Infrastructure,Case Studies,Case Studies,Metaverse,Metaverse
11,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction",2016,International Symposium On Computers In Education,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Metaverse,Metaverse
12,A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,2024,IEEE International Symposium on Parallel and Distributed Processing and Applications,Digital Twin,Communication Network,Communication Network and IoT,Traffic and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
13,Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,2022,IEEE Transactions on Industrial Informatics,Digital Twin,Digital Twin,Edge-Cloud Collaboration,Edge-Cloud Collaboration,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Communication and Network,Communication and Network
14,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,2025,IEEE Transactions On Computational Social Systems,Social,Social,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Network,Network
15,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,2024,Alexandria Engineering Journal,Simulation,Blockchain,Artificial Intelligence,Artificial Intelligence,Digital Twin,IoT Industrial,Theoretical Analysis,Theoretical Analysis,Network,Network
16,"AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives",2023,IEEE Vehicular Technology Magazine,Edge-Cloud,Edge-Cloud,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
17,AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,2023,IEEE Network,Communication Network,Communication Network,Communication Network and IoT,Communication Network and IoT,Decision and Management,Digital Twin,Quantitative Analysis,Qualitative Analysis,Computing and Resource Management,Computing and Resource Management
18,Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,2024,IEEE Access,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Quantitative Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
